rank,name,uniprot,species,score,simiscore
87,matrix metalloproteinase 13 preproprotein,P45452,Homo sapiens,0.059,1.361
88,cAMP-dependent protein kinase catalytic subunit alpha isoform 1,P17612,Homo sapiens,0.039,1.359
89,Adenosine Receptor A2B,P29275,Homo sapiens,0.145,1.359
90,glycogen synthase kinase 3 beta isoform 1,n/a,Homo sapiens,0.216,1.359
91,DNA dC->dU-editing enzyme APOBEC-3G,Q5TF77,Homo sapiens,0.06,1.358
92,RecName: Full=Zinc finger protein mex-5,Q9XUB2,Caenorhabditis elegans,0.138,1.358
93,Hsf1 protein,n/a,Mus musculus,0.311,1.358
94,streptokinase A precursor,P10520,Streptococcus pyogenes M1 GAS,0.118,1.358
95,Cytochrome P450 1A2,Q9BXX7,Homo sapiens,0.02,1.357
96,Transient receptor potential cation channel subfamily M member 8,Q8R455,Rattus norvegicus,0.008,1.357
97,Protein-Tyrosine Phosphatase 1B,Q9BQV9,Homo sapiens,0.059,1.357
98,Transient receptor potential cation channel subfamily A member 1,Q6RI86,Rattus norvegicus,0.012,1.357
99,dopamine receptor D5,P21918,Homo sapiens,0.02,1.356
100,Metabotropic glutamate receptor 5,P31424,Rattus norvegicus,0.216,1.356
101,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,Q61214,Mus musculus,0.02,1.356
102,beta-Amyloid Precursor Protein (APP),Q16014,Homo sapiens,0.119,1.355
103,Peripheral-Type Benzodiazepine Receptor,P16257,Rattus norvegicus,0.059,1.354
104,EGF-R Tyrosine Kinase,P00533,Homo sapiens,0.059,1.354
105,Hypoxia-inducible factor prolyl 4-hydroxylase,Q6PAG6,Homo sapiens,0.02,1.353
106,Kruppel-like factor 5,Q9UHP8,Homo sapiens,0.02,1.353
107,HIV-1 Reverse Transcriptase RNase H,n/a,Human immunodeficiency virus 1,0.06,1.353
108,Methionine Aminopeptidase Type 2 (MetAP2),P50579,Homo sapiens,0.234,1.353
109,Histone Deacetylase 1 (HDAC1),Q92534,Homo sapiens,0.098,1.35
110,"nuclear receptor subfamily 4, group A, member 1",B4DML7,Homo sapiens,0.02,1.349
111,Serine beta-lactamase-like protein,P83111,Homo sapiens,0.039,1.348
112,leucine aminopeptidase,n/a,Plasmodium falciparum 3D7,0.04,1.346
113,Serine/threonine-protein kinase WEE1,P30291,Homo sapiens,0.039,1.346
114,voltage-dependent T-type calcium channel subunit alpha-1H isoform a,F8WFD1,Homo sapiens,0.099,1.346
115,Xanthine dehydrogenase,P47989,Homo sapiens,0.059,1.345
116,Monoamine oxidase B,D3DWC3,Homo sapiens,0.098,1.344
117,VEGFR-2 (KDR),Q14178,Homo sapiens,0.02,1.344
118,MCOLN3 protein,n/a,Homo sapiens,0.02,1.344
119,BCL2-like 11 isoform 1,Q6T851,Homo sapiens,0.098,1.343
120,Glucosylceramidase precursor (Beta-glucocerebrosidase) (Acid beta-glucosidase) (D-glucosyl-N-acylsphingosine glucohydrolase) (Alglucerase) (Imiglucerase).,P04062,Homo sapiens,0.059,1.343
121,Phosphodiesterase Type 5 (PDE5),O76074,Homo sapiens,0.137,1.342
122,X-linked inhibitor of apoptosis,P98170,Homo sapiens,0.02,1.341
123,dual specificity phosphatase 3,Q5RD73,Homo sapiens,0.059,1.341
124,ERK2,P28482,Homo sapiens,0.079,1.34
125,"""camp-specific 3',5'-cyclic phosphodiesterase 4d""",Q08499,Homo sapiens,0.005,1.34
126,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",P70453,Mus musculus,0.015,1.34
127,estrogen receptor beta isoform 1,O75583,Homo sapiens,0.039,1.339
128,YopH,n/a,Yersinia enterocolitica,0.02,1.338
129,Monoamine Oxidase Type A (MAO-A),Q63817,Rattus norvegicus (rat),0.039,1.338
130,Sphingosine 1-Phosphate Receptor 2,Q86UN8,Homo sapiens,0.02,1.337
131,matrix metalloproteinase 1,n/a,Homo sapiens,0.079,1.337
132,Monoamine Oxidase Type B (MAO-B),Q5EBB5,Rattus norvegicus,0.02,1.337
133,Adenosine Receptor A1,A8K1L3,Homo sapiens,0.177,1.337
134,Luciferin 4-monooxygenase,Q27757,Photuris pennsylvanica,0.099,1.336
135,cardiac alpha tropomyosin,n/a,Sus scrofa,0.02,1.336
136,MPI protein,n/a,Homo sapiens,0.039,1.335
137,mevalonate kinase,n/a,Streptococcus pneumoniae D39,0.02,1.334
138,Hepatocyte growth factor receptor,A1L467,Homo sapiens,0.02,1.334
139,Metabotropic glutamate receptor 5,P41594,Homo sapiens,0.059,1.333
140,Carboxypeptidase B,n/a,Heliothis zea,0.02,1.333
141,Thymidine Kinase,P03176,Human herpesvirus 1,0.02,1.333
142,Sentrin-specific protease 8,Q96LD8,Homo sapiens,0.04,1.333
143,Arachidonate 5-lipoxygenase,P12527,Rattus norvegicus,0.039,1.332
144,Matrix Metalloproteinase-13 (MMP-13),P45452,Homo sapiens,0.02,1.332
145,Proto-oncogene c-JUN,Q96G93,Homo sapiens,0.02,1.33
146,Acetylcholinesterase (AChE),P37136,Rattus norvegicus,0.02,1.329
147,Carboxypeptidase B,Q96BQ8,Homo sapiens,0.02,1.329
148,ADORA1,A5PJR1,BOVINE,0.02,1.328
149,Peptide deformylase mitochondrial,Q9HBH1,Homo sapiens,0.059,1.328
150,Rho-kinase (ROCK I),n/a,Homo sapiens,0.02,1.327
151,Cyclooxygenase-1/Cyclooxygenase-2,P79208,Homo sapiens,0.02,1.327
152,Tyrosine-protein kinase SRC,P12931,Homo sapiens,0.039,1.326
153,MAP Kinase p38 alpha,Q13083,Homo sapiens,0.097,1.325
154,Focal adhesion kinase 1 (FADK 1) (pp125FAK) (Protein-tyrosine kinase 2).,Q05397,Homo sapiens,0.02,1.325
155,Luciferin 4-monooxygenase,P08659,Photinus pyralis,0.078,1.325
156,eukaryotic translation initiation factor 2-alpha kinase 3,A0AVH1,Homo sapiens,0.02,1.324
157,Eph receptor A4,Q80VZ2,Mus musculus,0.039,1.324
158,ubiquitin-conjugating enzyme E2 N,Q16781,Homo sapiens,0.039,1.324
159,"protein tyrosine phosphatase, non-receptor type 22 (lymphoid) isoform 1",O95064,Homo sapiens,0.02,1.324
160,Tyrosine-protein kinase LCK/Lyn,D3DPP8,Homo sapiens,0.02,1.323
161,Estrogen Receptor (ER-alpha),Q6MZQ9,Homo sapiens,0.039,1.322
162,Metabotropic glutamate receptor 1,P23385,Rattus norvegicus,0.078,1.322
163,Cytochrome P450 24A1,Q63685,Rattus norvegicus,0.039,1.322
164,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide",Q9UDP2,Homo sapiens,0.039,1.321
165,carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 isoform 1,Q9GZU7,Homo sapiens,0.059,1.32
166,Xanthine dehydrogenase/oxidase,Q63157,Rattus norvegicus,0.116,1.32
167,tyrosine-protein phosphatase non-receptor type 11,n/a,Homo sapiens,0.02,1.32
168,NADPH oxidase 1,Q2PP02,Homo sapiens,0.02,1.32
169,Estrogen Receptor (ER-beta),O75583,Homo sapiens,0.02,1.32
170,Serotonin Receptor 1A,Q6LAE7,Homo sapiens,0.02,1.319
171,Heat Shock Protein 90 (Hsp90),B3KPJ9,Homo sapiens,0.02,1.319
172,Heat Shock Protein 90 (Hsp90),Q9NQW0,Homo sapiens,0.02,1.319
173,Monoglyceride lipase,O35678,Mus musculus,0.0,1.318
174,Mitogen-Activated Protein Kinase 8 (JNK1),Q15709,Homo sapiens,0.058,1.318
175,photoreceptor-specific nuclear receptor,Q9Y5X4,Homo sapiens,0.02,1.318
176,Flap endonuclease 1,P39748,Homo sapiens,0.02,1.318
177,Fatty-acid amide hydrolase 1,P97612,Rattus norvegicus,0.02,1.318
178,Monoacylglycerol lipase ABHD6,Q8R2Y0,Mus musculus,0.0,1.318
179,KIAA1363,Q8BLF1,Mus musculus,0.0,1.318
180,orexin receptor type 1,Q9HBV6,Homo sapiens,0.02,1.317
181,Monoamine Oxidase Type A (MAO-A),Q63817,Rattus norvegicus,0.039,1.317
182,TPA: Essential component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex),D6W1J2,Saccharomyces cerevisiae S288c,0.02,1.316
183,Ephrin Type-B Receptor 4,P54760,NA,0.01,1.315
184,FIBROBLAST GROWTH FACTOR 1,P21802,Homo sapiens,0.007,1.315
185,FIBROBLAST GROWTH FACTOR 2,P11362,"Homo sapiens, Homo sapiens",0.007,1.315
186,Proto-oncogene tyrosine-protein kinase Yes,P07947,Homo sapiens,0.01,1.315
187,heat shock protein 90,P46598,Candida albicans,0.039,1.315
188,Fibroblast growth factor receptor 3,P22607,Homo sapiens,0.006,1.315
189,DNA-(apurinic or apyrimidinic site) lyase,P27695,Homo sapiens,0.039,1.314
190,Peroxisome proliferator-activated receptor alpha,Q6I9S0,Homo sapiens,0.058,1.313
191,Rac1 protein,Q6RUV5,Mus musculus,0.02,1.313
192,Neurokinin 3 receptor,P29371,Homo sapiens,0.02,1.312
193,"dTDP-4-dehydrorhamnose 3,5-epimerase RmlC",Q7D5I3,Mycobacterium tuberculosis H37Rv,0.039,1.311
194,Factor XIIa (fXIIa),P00748,Homo sapiens,0.039,1.311
195,3C-like protease,n/a,Avian infectious bronchitis virus,0.02,1.31
196,"KYNURENINE/ALPHA-AMINOADIPATE AMINOTRANSFERASE, MITOCHONDRIAL",Q8N5Z0,Homo sapiens,0.02,1.31
197,ubiquitin-conjugating enzyme E2I,P63281,Homo sapiens,0.02,1.309
198,Diacyl Glycerolacyltransferase 1 (DGAT-1),D3DWL6,Homo sapiens,0.02,1.309
199,Natural resistance-associated macrophage protein 2,B3KT08,Homo sapiens,0.02,1.308
200,Low molecular weight phosphotyrosine protein phosphatase,P24666,Homo sapiens,0.039,1.308
201,Poly [ADP-ribose] polymerase-1,Q8IUZ9,Homo sapiens,0.039,1.308
202,Heat Shock 70kDa Protein 1,n/a,Homo sapiens,0.019,1.307
203,DNA-dependent protein kinase,Q14175,Homo sapiens,0.019,1.307
204,Adenosine receptor A3,P33765,Homo sapiens,0.009,1.307
205,Adenosine receptor A2a,P30543,Rattus norvegicus,0.022,1.307
206,HIV-1 Protease,n/a,Human immunodeficiency virus type 1,0.019,1.307
207,Tubulin alpha-1/beta-1 chain,n/a,Homo sapiens,0.039,1.307
208,cysteine protease ATG4B isoform a,Q8WYM9,Homo sapiens,0.019,1.307
209,GABA receptor alpha-1/alpha-2/alpha-3/alpha-4/alpha-5/alpha-6/beta-1/beta-2/beta-3/delta/epsilon/gamma-1/gamma-2/gamma-3/pi/theta subunit,n/a,Rattus norvegicus,0.019,1.307
210,Cyclooxygenase-1,P05979,Ovis aries,0.019,1.306
211,Neuronal acetylcholine receptor protein alpha-7 subunit,Q53YK2,Rattus norvegicus,0.019,1.306
212,LYSINE-SPECIFIC DEMETHYLASE 4C,Q9H3R0,HOMO SAPIENS,0.019,1.306
213,3-oxoacyl-[acyl-carrier-protein] synthase 3,A1A9Y5,Escherichia coli (strain K12),0.039,1.306
214,Cyclin-Dependent Kinase 1 (CDK1),n/a,Marthasterias glacialis (starfish),0.019,1.305
215,Sphingosine 1-phosphate receptor 3,Q99500,Homo sapiens,0.116,1.305
216,"Glycogen Synthase Kinase-3, alpha",P49840,Homo sapiens,0.116,1.305
217,Brain adenylate cyclase 1,Q75MI1,Homo sapiens,0.019,1.304
218,Botulinum neurotoxin type A,P10845,Clostridium botulinum,0.019,1.303
219,Macrophage migration inhibitory factor,P14174,Homo sapiens,0.039,1.302
220,Multidrug resistance-associated protein 1,n/a,Homo sapiens,0.039,1.302
221,Human herpesvirus 6 DNA polymerase,Q69061,Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus),0.019,1.301
222,Peroxisome Proliferator-Activated Receptor gamma,O00684,Homo sapiens,0.039,1.301
223,Phosphodiesterase 6A/6B/6C/6D/6G/6H,P11541,Bos taurus,0.019,1.3
224,signal transducer and activator of transcription 1-alpha/beta isoform alpha,A8K989,Homo sapiens,0.019,1.3
225,Dipeptidyl Peptidase IV (DPP-IV),P27487,Homo sapiens,0.019,1.3
226,NLRP3 protein,n/a,Homo sapiens,0.019,1.299
227,Cyclooxygenase-2,Q05769,Mus musculus,0.019,1.298
228,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",Q01970,Homo sapiens,0.019,1.298
229,"Nitric Oxide Synthase, brain",P29475,Homo sapiens,0.019,1.298
230,melanocortin receptor 4,P32245,HUMAN,0.019,1.297
231,Steroidogenic factor 1,Q13285,Homo sapiens,0.001,1.297
232,beta-Secretase (BACE-1),n/a,Homo sapiens,0.019,1.297
233,Nuclear receptor 0B1,P51843,Homo sapiens,0.018,1.297
234,Arachidonate 5-lipoxygenase,P48999,Mus musculus,0.019,1.297
235,mitogen-activated protein kinase kinase kinase kinase 2,Q12851,Homo sapiens,0.019,1.297
236,CELL DIVISION PROTEIN KINASE 2,P24941,Homo sapiens,0.058,1.296
237,Epoxide hydrolase 2,P80299,Rattus norvegicus,0.019,1.296
238,Xanthine dehydrogenase,P80457,Bos taurus,0.038,1.296
239,Tyrosine-protein kinase ABL,Q13870,Homo sapiens,0.039,1.295
240,"Glutamate receptor ionotropic, AMPA 1/2/3/4",P23818,Mus musculus,0.019,1.295
241,Steroid 5-alpha-reductase 1,Q9UP37,Homo sapiens,0.019,1.295
242,CDK5,Q00535,Homo sapiens,0.019,1.294
243,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,Q13526,Homo sapiens,0.039,1.294
244,Serotonin Receptor 2C,Q9NP28,Homo sapiens,0.019,1.294
245,Neuronal acetylcholine receptor subunit beta-2,P17787,Homo sapiens,0.026,1.293
246,"Potassium channel, inwardly rectifying, subfamily J, member 11/Sulfonylurea receptor 1",Q14654,Homo sapiens,0.019,1.293
247,Monoglyceride Lipase (MGL),Q99685,Homo sapiens,0.019,1.293
248,Human rhinovirus B 3A protease,n/a,Human rhinovirus B,0.019,1.291
249,Beta lactamase,n/a,Pseudomonas aeruginosa,0.019,1.291
250,Neutral cholesterol ester hydrolase 1,B7Z5U2,Homo sapiens,0.019,1.291
251,Sphingosine 1-phosphate receptor Edg-5,Q86UN8,Homo sapiens,0.019,1.291
252,GABA receptor alpha-1/beta-2/gamma-2 subunit,n/a,Homo sapiens,0.019,1.291
253,EGF-R Tyrosine Kinase,P55245,Homo sapiens,0.019,1.29
254,MAP Kinase p38 alpha,Q16539,Homo sapiens,0.019,1.29
255,Prolyl endopeptidase,P48147,Homo sapiens,0.038,1.29
256,MONOAMINE OXIDASE,P27338,Homo sapiens,0.007,1.29
257,Excitatory amino acid transporter 3,Q63727,Rattus norvegicus,0.019,1.29
258,Neuronal acetylcholine receptor subunit beta-4,P30926,Homo sapiens,0.013,1.29
259,Amine oxidase [flavin-containing] A,P21397,Homo sapiens,0.012,1.29
260,Metabotropic glutamate receptor 1,Q13255,Homo sapiens,0.038,1.289
261,UDP-galactopyranose mutase,n/a,Klebsiella pneumoniae,0.019,1.289
262,Sodium channel protein type X alpha subunit,Q62968,Rattus norvegicus,0.019,1.289
263,Prostaglandin G/H synthase 1,P05979,Ovis aries,0.019,1.288
264,Inosine Monophosphate Dehydrogenase Type 2 (IMPDH2),Q6LEF3,Homo sapiens,0.019,1.288
265,Apurinic-Apyrimidinic Endonuclease 1 (APE1),P27695,Homo sapiens,0.019,1.287
266,Adenosine Phosphosulfate Reductase (APSR),A1KL82,Mycobacterium tuberculosis,0.019,1.287
267,Cdc7 Kinase,D3DT31,Homo sapiens,0.019,1.287
268,Cannabinoid Receptor 1,Q5IS73,Homo sapiens,0.019,1.286
269,Trace amine-associated receptor1,Q05A85,Mus musculus,0.019,1.286
270,RAF proto-oncogene serine/threonine-protein kinase,P04049,Homo sapiens,0.013,1.285
271,Histone deacetylase HD2,n/a,Zea mays,0.019,1.285
272,Hypoxia-inducible factor 1 alpha,Q9UPB1,Homo sapiens,0.019,1.285
273,B-Raf proto-oncogene serine/threonine-protein kinase,P15056,Homo sapiens,0.006,1.285
274,5-Lipoxygenase,Q5JQ14,Homo sapiens,0.019,1.285
275,THYMIDYLATE SYNTHASE,P04818,Homo sapiens,0.019,1.284
276,FGFR-1 Tyrosine Kinase,Q9UDF2,Homo sapiens,0.019,1.284
277,Cyclin-Dependent Kinase 5 (CDK5),A1XKG3,Homo sapiens,0.019,1.284
278,Solute carrier family 28 member 3,B1AML0,Homo sapiens,0.019,1.283
279,mothers against decapentaplegic homolog 3,O09144,Homo sapiens,0.019,1.283
